Cohort,FPR,TPR
GSE185263,0.0,0.0
GSE185263,0.0,0.019230769230769232
GSE185263,0.0034129692832764505,0.019230769230769232
GSE185263,0.0034129692832764505,0.038461538461538464
GSE185263,0.006825938566552901,0.038461538461538464
GSE185263,0.006825938566552901,0.1346153846153846
GSE185263,0.010238907849829351,0.1346153846153846
GSE185263,0.010238907849829351,0.15384615384615385
GSE185263,0.013651877133105802,0.15384615384615385
GSE185263,0.013651877133105802,0.17307692307692307
GSE185263,0.027303754266211604,0.17307692307692307
GSE185263,0.027303754266211604,0.21153846153846154
GSE185263,0.03754266211604096,0.21153846153846154
GSE185263,0.03754266211604096,0.23076923076923078
GSE185263,0.08191126279863481,0.23076923076923078
GSE185263,0.08191126279863481,0.2692307692307692
GSE185263,0.08873720136518772,0.2692307692307692
GSE185263,0.08873720136518772,0.3076923076923077
GSE185263,0.09215017064846416,0.3076923076923077
GSE185263,0.09215017064846416,0.3269230769230769
GSE185263,0.10238907849829351,0.3269230769230769
GSE185263,0.10238907849829351,0.34615384615384615
GSE185263,0.11945392491467577,0.34615384615384615
GSE185263,0.11945392491467577,0.36538461538461536
GSE185263,0.12286689419795221,0.36538461538461536
GSE185263,0.12286689419795221,0.38461538461538464
GSE185263,0.15699658703071673,0.38461538461538464
GSE185263,0.15699658703071673,0.40384615384615385
GSE185263,0.16040955631399317,0.40384615384615385
GSE185263,0.16040955631399317,0.4423076923076923
GSE185263,0.16382252559726962,0.4423076923076923
GSE185263,0.16382252559726962,0.46153846153846156
GSE185263,0.17406143344709898,0.46153846153846156
GSE185263,0.17406143344709898,0.4807692307692308
GSE185263,0.2525597269624573,0.4807692307692308
GSE185263,0.2525597269624573,0.5
GSE185263,0.25597269624573377,0.5
GSE185263,0.25597269624573377,0.5576923076923077
GSE185263,0.2764505119453925,0.5576923076923077
GSE185263,0.2764505119453925,0.5769230769230769
GSE185263,0.2832764505119454,0.5769230769230769
GSE185263,0.2832764505119454,0.5961538461538461
GSE185263,0.3310580204778157,0.5961538461538461
GSE185263,0.3310580204778157,0.6153846153846154
GSE185263,0.3378839590443686,0.6153846153846154
GSE185263,0.3378839590443686,0.6346153846153846
GSE185263,0.3993174061433447,0.6346153846153846
GSE185263,0.3993174061433447,0.6538461538461539
GSE185263,0.4232081911262799,0.6538461538461539
GSE185263,0.4232081911262799,0.6730769230769231
GSE185263,0.42662116040955633,0.6730769230769231
GSE185263,0.42662116040955633,0.6923076923076923
GSE185263,0.44368600682593856,0.6923076923076923
GSE185263,0.44368600682593856,0.7115384615384616
GSE185263,0.5460750853242321,0.7115384615384616
GSE185263,0.5460750853242321,0.7307692307692307
GSE185263,0.5836177474402731,0.7307692307692307
GSE185263,0.5836177474402731,0.75
GSE185263,0.6109215017064846,0.75
GSE185263,0.6109215017064846,0.7692307692307693
GSE185263,0.6313993174061433,0.7692307692307693
GSE185263,0.6313993174061433,0.7884615384615384
GSE185263,0.7064846416382252,0.7884615384615384
GSE185263,0.7064846416382252,0.8076923076923077
GSE185263,0.7781569965870307,0.8076923076923077
GSE185263,0.7781569965870307,0.8269230769230769
GSE185263,0.8088737201365188,0.8269230769230769
GSE185263,0.8088737201365188,0.8461538461538461
GSE185263,0.8191126279863481,0.8461538461538461
GSE185263,0.8191126279863481,0.8653846153846154
