Optimal_Genes
S100P
NCAPH
ARL4A
ARG1
GCLM
TGFBI
CKS2
CD4
NUSAP1
ASPM
NCAPG
IL10
HMGB3
UBL5
PRC1
ATP8B4
SLC44A1
BRCA1
CEP55
TCN1
RHOB
ABCA5
CX3CR1
GIMAP8
LTB
TRERF1
