Cohort,N_Patients,AUC,AUC_Lower,AUC_Upper,SE,Weight,Q_contrib
GSE236713,324,0.5967380876239208,0.5086467010495412,0.6811694662942395,0.04465222577888932,501.54947012887504,4.687584075130837
GSE26440,98,0.663035584604212,0.5284349669664669,0.793591628959276,0.06784408912129969,217.25809544186026,0.20049436750206867
GSE185263,345,0.6728143869782094,0.5867232227600413,0.7548444147588148,0.0425906954505924,551.2778419541504,0.233928279106463
GSE54514,127,0.7271505376344086,0.6236701173222912,0.8315485104669887,0.05274225540166391,359.4865160220185,0.40915441987436946
GSE95233,102,0.7482698961937717,0.6466617847456948,0.8514540304350996,0.053543502942335015,348.808001823429,1.04962773335284
GSE272769,161,0.7524752475247525,0.6692691364433783,0.8354261656815836,0.04097268573209754,595.6774158060368,2.077870306947303
