Cohort,N_Patients,AUC,AUC_Lower,AUC_Upper,SE,Weight,Q_contrib
GSE26440,98,0.6456063907044299,0.4958092948717948,0.7775514558232932,0.07256426302947848,189.91288105286225,0.7638589128822553
GSE185263,345,0.6650039380414807,0.5723013240880713,0.7487819352277058,0.04585250925062577,475.6349787967633,0.9217884538372144
GSE236713,324,0.6844259673808762,0.6088024811868911,0.7569206379839123,0.0385032031791453,674.5377782745874,0.40823248304014076
GSE95233,102,0.7236159169550173,0.6123325600293593,0.8230177747976661,0.05408636947181302,341.841148461364,0.07275779639621088
GSE272769,161,0.7466996699669968,0.6665885503850016,0.827843425192587,0.04118913969583933,589.4331509559461,0.8365480312054496
GSE54514,127,0.7647849462365591,0.666650799695354,0.8633302402983254,0.049908978291768706,401.46033378298443,1.2481263683041277
