Cohort,FPR,TPR
GSE185263,0.0,0.0
GSE185263,0.0034129692832764505,0.0
GSE185263,0.0034129692832764505,0.09615384615384616
GSE185263,0.010238907849829351,0.09615384615384616
GSE185263,0.010238907849829351,0.11538461538461539
GSE185263,0.017064846416382253,0.11538461538461539
GSE185263,0.017064846416382253,0.1346153846153846
GSE185263,0.030716723549488054,0.1346153846153846
GSE185263,0.030716723549488054,0.15384615384615385
GSE185263,0.040955631399317405,0.15384615384615385
GSE185263,0.040955631399317405,0.17307692307692307
GSE185263,0.04778156996587031,0.17307692307692307
GSE185263,0.04778156996587031,0.23076923076923078
GSE185263,0.05802047781569966,0.23076923076923078
GSE185263,0.05802047781569966,0.25
GSE185263,0.07167235494880546,0.25
GSE185263,0.07167235494880546,0.2692307692307692
GSE185263,0.07849829351535836,0.2692307692307692
GSE185263,0.07849829351535836,0.28846153846153844
GSE185263,0.10921501706484642,0.28846153846153844
GSE185263,0.10921501706484642,0.3076923076923077
GSE185263,0.12286689419795221,0.3076923076923077
GSE185263,0.12286689419795221,0.3269230769230769
GSE185263,0.14334470989761092,0.3269230769230769
GSE185263,0.14334470989761092,0.36538461538461536
GSE185263,0.15017064846416384,0.36538461538461536
GSE185263,0.15017064846416384,0.38461538461538464
GSE185263,0.16382252559726962,0.38461538461538464
GSE185263,0.16382252559726962,0.40384615384615385
GSE185263,0.17064846416382254,0.40384615384615385
GSE185263,0.17064846416382254,0.4230769230769231
GSE185263,0.18088737201365188,0.4230769230769231
GSE185263,0.18088737201365188,0.4423076923076923
GSE185263,0.18430034129692832,0.4423076923076923
GSE185263,0.18430034129692832,0.46153846153846156
GSE185263,0.22866894197952217,0.46153846153846156
GSE185263,0.22866894197952217,0.5
GSE185263,0.23890784982935154,0.5
GSE185263,0.23890784982935154,0.5192307692307693
GSE185263,0.24573378839590443,0.5192307692307693
GSE185263,0.24573378839590443,0.5384615384615384
GSE185263,0.25597269624573377,0.5384615384615384
GSE185263,0.25597269624573377,0.5576923076923077
GSE185263,0.2593856655290102,0.5576923076923077
GSE185263,0.2593856655290102,0.5769230769230769
GSE185263,0.2764505119453925,0.5769230769230769
GSE185263,0.2764505119453925,0.5961538461538461
GSE185263,0.3003412969283277,0.5961538461538461
GSE185263,0.3003412969283277,0.6153846153846154
GSE185263,0.35494880546075086,0.6153846153846154
GSE185263,0.35494880546075086,0.6346153846153846
GSE185263,0.41638225255972694,0.6346153846153846
GSE185263,0.41638225255972694,0.6538461538461539
GSE185263,0.4300341296928328,0.6538461538461539
GSE185263,0.4300341296928328,0.6730769230769231
GSE185263,0.46757679180887374,0.6730769230769231
GSE185263,0.46757679180887374,0.6923076923076923
GSE185263,0.4709897610921502,0.6923076923076923
GSE185263,0.4709897610921502,0.7115384615384616
GSE185263,0.4778156996587031,0.7115384615384616
GSE185263,0.4778156996587031,0.7307692307692307
GSE185263,0.5017064846416383,0.7307692307692307
GSE185263,0.5017064846416383,0.75
GSE185263,0.590443686006826,0.75
GSE185263,0.590443686006826,0.7692307692307693
GSE185263,0.6655290102389079,0.7692307692307693
GSE185263,0.6655290102389079,0.7884615384615384
GSE185263,0.6757679180887372,0.7884615384615384
GSE185263,0.6757679180887372,0.8076923076923077
GSE185263,0.7064846416382252,0.8076923076923077
GSE185263,0.7064846416382252,0.8269230769230769
GSE185263,0.7542662116040956,0.8269230769230769
GSE185263,0.7542662116040956,0.8461538461538461
GSE185263,0.8054607508532423,0.8461538461538461
GSE185263,0.8054607508532423,0.8653846153846154
GSE185263,0.8122866894197952,0.8653846153846154
GSE185263,0.8122866894197952,0.8846153846153846
GSE185263,0.8191126279863481,0.8846153846153846
GSE185263,0.8191126279863481,0.9038461538461539
GSE185263,0.8225255972696246,0.9038461538461539
GSE185263,0.8225255972696246,0.9230769230769231
GSE185263,0.8361774744027304,0.9230769230769231
GSE185263,0.8361774744027304,0.9615384615384616
GSE185263,0.8430034129692833,0.9615384615384616
GSE185263,0.8430034129692833,0.9807692307692307
GSE185263,0.856655290102389,0.9807692307692307
GSE185263,0.856655290102389,1.0
GSE185263,1.0,1.0
GSE236713,0.0,0.0
GSE236713,0.0,0.01694915254237288
GSE236713,0.0037735849056603774,0.01694915254237288
GSE236713,0.0037735849056603774,0.03389830508474576
GSE236713,0.01509433962264151,0.03389830508474576
GSE236713,0.01509433962264151,0.05084745762711865
