Optimal_Genes
S100P
NCAPH
ARL4A
ARG1
ANLN
CKS2
TGFBI
NUSAP1
ASPM
NCAPG
NCR3
IL10
HMGB3
UBL5
PRC1
RAB13
ENPP4
APPL2
ATP8B4
GFI1
KLF9
SLC44A1
CENPN
BRCA1
B4GALT4
CEP55
TCN1
KIF11
KIF2C
ABCA5
MAP3K14
RHOB
CX3CR1
CD300LB
GIMAP8
LTB
